# gunzip -c exp/tri2a_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon Dec  7 01:38:04 UTC 2020
#
At utterance begin, SIL accounts for 99.2% of phone occurrences, with duration (median, mean, 95-percentile) is (29,36.3,87) frames.
Overall, K_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,14) frames.
Overall, EY_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.9,21) frames.
Overall, R_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.5,23) frames.
Overall, K_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,17) frames.
Overall, AY_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.6,25) frames.
Overall, L_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.7,22) frames.
Overall, M_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,11) frames.
Overall, D_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.4,31) frames.
Overall, NG_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,18) frames.
Overall, P_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,17) frames.
Overall, M_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,18) frames.
Overall, D_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,13) frames.
Overall, AE_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,19) frames.
Overall, P_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,17) frames.
Overall, L_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,17) frames.
Overall, N_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,14) frames.
Overall, AH_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,14) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,11) frames.
Overall, OW_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,21) frames.
Overall, R_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,17) frames.
The optional-silence phone SIL occupies 44.4% of frames overall 
Limiting the stats to the 96.6% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 42.5% of frames.
Assuming 100 frames per second, the alignments represent 23.3 hours of data, or 13.0 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 9.3% of utterance-internal phones, with duration (median, mean, 95-percentile) = (44,60.2,170)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Dec  7 01:38:04 UTC 2020, elapsed time 0 seconds
